Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
206,1231.45,1091.34,981.98,804.53,1506.19,935.12,979.48,910.16
207,1237.45,1094.76,986.45,808.25,1513.64,939.28,982.94,914.49
208,1242.64,1098.43,991.24,812.29,1523.67,944.29,988.57,919.40
209,1247.54,1101.85,995.86,816.05,1531.76,948.87,992.02,923.88
210,1252.30,1105.26,1000.47,819.86,1539.52,953.45,997.54,928.34
211,1256.92,1108.67,1004.50,823.29,1544.69,957.20,1000.98,932.23
212,1261.72,1112.08,1009.08,827.04,1552.45,961.78,1004.43,936.69
213,1266.67,1115.61,1013.60,830.79,1559.96,965.94,1007.88,941.31
214,1271.40,1120.87,1018.09,834.49,1567.39,970.10,1011.33,945.69
215,1276.12,1126.23,1022.51,838.19,1574.50,974.27,1014.78,949.92
216,1281.89,1131.71,1026.77,841.78,1581.01,978.43,1018.24,954.06
217,1286.97,1135.26,1031.01,845.33,1586.51,982.65,1021.69,958.03
218,1291.95,1141.60,1035.37,848.93,1592.97,986.81,1025.14,962.28
219,1297.34,1147.64,1039.69,852.52,1598.46,990.97,1028.60,966.58
220,1302.11,1154.19,1043.91,856.08,1604.92,995.14,1032.05,970.95
221,1307.34,1160.79,1048.24,859.63,1610.77,999.30,1035.50,975.02
222,1312.32,1165.04,1052.69,863.32,1617.23,1003.46,1038.96,979.30
223,1317.22,1169.03,1056.94,866.90,1623.37,1007.63,1042.38,983.61
224,1323.02,1172.74,1061.25,870.43,1629.51,1011.79,1045.84,987.89
225,1329.48,1176.87,1065.62,874.16,1635.98,1015.96,1049.29,992.16
226,1334.25,1180.45,1069.80,877.66,1641.47,1020.12,1052.74,996.36
227,1339.03,1184.44,1073.90,881.18,1648.26,1024.28,1056.19,1000.82
228,1345.91,1188.90,1078.61,885.07,1655.71,1028.87,1061.73,1005.40
229,1350.67,1195.44,1083.08,888.76,1662.84,1033.03,1065.18,1009.80
230,1357.45,1203.77,1087.63,892.46,1670.60,1037.19,1070.69,1014.37
231,1362.20,1211.67,1092.13,896.16,1677.39,1041.35,1074.15,1018.83
232,1367.11,1217.85,1096.52,899.82,1683.65,1045.51,1077.59,1023.16
233,1371.88,1223.80,1100.87,903.44,1690.11,1049.68,1081.04,1027.44
234,1376.63,1229.61,1105.37,907.08,1696.58,1053.85,1084.54,1031.57
235,1382.75,1235.42,1109.86,910.79,1703.37,1058.14,1087.99,1035.81
236,1388.90,1241.23,1114.50,914.55,1710.86,1062.31,1091.41,1040.17
237,1393.61,1247.04,1118.82,918.18,1717.65,1066.47,1094.86,1044.37
238,1398.20,1252.85,1123.24,921.81,1724.11,1070.63,1098.31,1048.63
239,1402.97,1257.12,1127.66,925.48,1731.22,1074.79,1101.77,1053.05
240,1407.55,1261.39,1132.16,929.16,1738.65,1078.96,1105.22,1057.40
241,1413.47,1265.76,1136.70,932.97,1746.09,1083.62,1108.69,1061.74
242,1419.45,1271.81,1141.29,936.92,1753.20,1087.78,1112.15,1066.04
243,1424.23,1277.62,1145.57,940.52,1758.75,1091.95,1115.60,1070.05
244,1429.83,1283.57,1149.60,943.99,1763.60,1096.11,1119.05,1074.24
245,1434.52,1288.03,1154.00,947.66,1771.36,1100.27,1122.52,1078.79
246,1439.39,1292.33,1158.50,951.34,1779.12,1104.45,1125.98,1083.20
247,1445.03,1298.14,1162.82,954.96,1785.28,1108.71,1129.40,1087.26
248,1451.15,1302.41,1167.47,958.76,1792.06,1112.87,1132.85,1091.51
249,1457.74,1306.96,1171.99,962.50,1799.82,1117.45,1136.30,1095.95
250,1464.36,1311.64,1176.59,966.25,1808.32,1122.03,1139.76,1100.50
251,1470.21,1316.40,1181.37,970.03,1817.05,1126.61,1145.26,1105.10
252,1475.85,1321.09,1185.98,973.78,1824.81,1131.20,1148.71,1109.59
253,1481.81,1325.91,1190.60,977.59,1832.32,1135.78,1152.17,1114.19
254,1488.12,1330.59,1195.21,981.38,1840.09,1140.36,1155.62,1118.70
255,1494.93,1335.28,1199.80,985.19,1848.17,1144.95,1159.10,1123.36
256,1501.61,1343.23,1204.66,989.05,1857.28,1149.53,1164.64,1128.41
257,1509.24,1352.00,1209.47,992.95,1865.03,1154.59,1170.12,1133.18
258,1516.98,1360.23,1214.26,996.92,1874.09,1159.70,1175.66,1138.19
259,1522.78,1364.61,1218.75,1000.59,1881.94,1164.28,1179.11,1142.61
260,1528.15,1368.72,1223.09,1004.16,1889.08,1168.44,1182.60,1146.93
261,1532.93,1373.10,1227.62,1007.87,1896.84,1172.61,1186.16,1151.44
262,1539.41,1377.89,1232.56,1011.75,1905.56,1177.19,1191.93,1156.33
263,1544.24,1382.82,1237.37,1015.65,1914.29,1182.22,1197.47,1161.02
264,1548.95,1387.07,1241.89,1019.42,1921.08,1186.80,1200.93,1165.28
265,1553.53,1390.61,1245.61,1022.73,1926.24,1190.54,1204.36,1169.11
266,1558.05,1394.31,1249.84,1026.26,1931.12,1194.28,1207.80,1172.96
267,1562.69,1398.14,1254.31,1029.90,1937.28,1198.44,1211.25,1177.11
268,1567.66,1401.84,1258.68,1033.53,1942.77,1202.18,1214.70,1181.15
269,1572.38,1408.04,1263.41,1037.33,1950.54,1206.83,1218.15,1185.84
270,1577.13,1414.65,1267.83,1041.00,1957.33,1210.99,1221.60,1190.07
271,1581.77,1418.89,1272.25,1044.67,1964.44,1215.15,1225.13,1194.33
272,1586.31,1423.13,1276.74,1048.36,1971.87,1219.31,1228.83,1198.77
273,1592.31,1433.10,1281.22,1051.98,1978.66,1223.47,1232.30,1203.06
274,1598.42,1440.49,1285.72,1055.71,1986.46,1227.63,1235.76,1207.45
275,1603.04,1445.06,1290.17,1059.55,1993.91,1231.87,1239.21,1211.83
276,1607.66,1449.48,1294.44,1063.17,2000.05,1236.04,1242.65,1216.18
277,1612.86,1453.34,1298.69,1066.73,2005.22,1240.20,1246.10,1220.15
278,1618.12,1457.20,1303.21,1070.36,2011.04,1244.36,1249.55,1224.49
279,1622.88,1461.20,1307.71,1073.99,2017.17,1248.52,1253.00,1228.73
280,1627.64,1465.81,1312.10,1077.59,2023.96,1252.68,1256.42,1233.16
281,1632.38,1469.39,1316.23,1081.11,2029.45,1256.50,1259.95,1237.22
282,1638.14,1473.53,1320.53,1084.71,2035.29,1260.66,1263.38,1241.27
283,1642.95,1477.95,1324.64,1088.20,2040.78,1264.82,1266.86,1245.36
284,1648.72,1481.95,1329.45,1092.01,2047.89,1268.98,1270.30,1249.85
285,1654.02,1490.28,1333.81,1095.60,2053.38,1273.14,1273.75,1253.99
286,1659.44,1497.23,1337.95,1099.17,2059.20,1277.30,1277.21,1258.13
287,1665.90,1505.10,1342.46,1102.90,2065.98,1281.54,1280.69,1262.46
288,1672.02,1509.92,1346.79,1106.55,2072.77,1285.70,1284.14,1266.78
289,1678.59,1515.18,1351.13,1110.22,2079.88,1289.86,1287.59,1271.05
290,1683.31,1520.13,1355.60,1113.87,2087.40,1294.02,1291.03,1275.36
291,1688.03,1524.94,1359.96,1117.49,2094.51,1298.18,1294.46,1279.64
292,1694.26,1529.90,1364.31,1121.13,2101.62,1302.34,1297.91,1283.87
293,1700.33,1534.71,1368.66,1124.77,2108.41,1306.56,1301.36,1288.06
294,1706.70,1539.86,1373.40,1128.59,2116.16,1311.14,1306.88,1292.44
295,1712.18,1543.98,1377.91,1132.33,2122.62,1315.30,1310.34,1296.59
296,1716.84,1548.94,1382.27,1135.99,2129.09,1319.46,1313.79,1300.75
297,1723.10,1554.17,1386.70,1139.66,2136.28,1323.62,1317.24,1305.03
298,1727.85,1559.40,1391.26,1143.42,2144.36,1327.78,1322.76,1309.48
299,1732.67,1564.67,1395.70,1147.10,2151.79,1332.11,1326.20,1313.78
300,1738.99,1569.76,1400.07,1150.74,2158.96,1336.27,1329.65,1318.05
301,1745.21,1574.72,1404.42,1154.34,2165.42,1340.43,1333.10,1322.24
302,1749.91,1579.11,1408.80,1157.97,2171.89,1344.59,1336.54,1326.57
303,1754.74,1585.63,1413.42,1161.80,2179.64,1349.17,1339.99,1330.99
304,1760.10,1589.25,1418.11,1165.63,2188.39,1353.75,1345.59,1335.57
305,1765.51,1592.83,1422.90,1169.57,2198.42,1358.48,1351.20,1340.45
306,1772.74,1596.53,1427.70,1173.71,2208.50,1363.90,1356.73,1345.44
307,1778.97,1599.96,1432.23,1177.42,2216.26,1368.48,1360.18,1349.88
308,1784.99,1603.53,1436.79,1181.13,2224.99,1373.06,1365.71,1354.49
309,1790.95,1607.23,1441.58,1185.19,2234.50,1378.07,1371.20,1359.27
310,1796.06,1610.66,1446.01,1188.87,2241.29,1382.76,1374.65,1363.52
311,1801.15,1614.37,1450.64,1192.67,2249.37,1387.34,1380.13,1368.25
312,1806.63,1617.97,1455.29,1196.43,2256.91,1391.92,1383.59,1372.60
313,1811.49,1621.81,1460.07,1200.29,2265.31,1396.50,1389.06,1377.25
314,1819.17,1628.03,1464.86,1204.19,2273.72,1401.50,1394.68,1382.07
315,1825.28,1632.43,1469.50,1207.97,2282.18,1406.18,1398.13,1386.88
316,1830.18,1636.41,1473.79,1211.45,2287.67,1410.36,1401.75,1391.15
317,1835.12,1642.02,1478.30,1215.07,2293.81,1414.52,1405.20,1395.32
318,1840.41,1647.55,1482.85,1218.68,2300.27,1418.68,1408.66,1399.73
319,1845.44,1651.53,1487.34,1222.32,2306.10,1422.83,1412.11,1403.85
320,1850.52,1655.65,1491.80,1225.98,2312.89,1426.99,1415.56,1408.06
321,1855.55,1662.29,1496.32,1229.68,2319.99,1431.26,1419.01,1412.39
322,1861.24,1668.92,1500.78,1233.38,2327.10,1435.43,1422.45,1416.93
323,1866.81,1673.03,1505.08,1237.11,2333.32,1439.59,1425.89,1420.99
324,1871.52,1677.00,1509.81,1240.87,2340.10,1443.75,1429.35,1425.21
325,1876.07,1681.39,1514.16,1244.51,2346.56,1447.91,1432.80,1429.36
326,1881.28,1685.36,1518.38,1248.09,2352.38,1452.07,1436.24,1433.37
327,1885.88,1688.97,1522.38,1251.51,2357.62,1455.93,1439.68,1437.24
328,1891.98,1693.65,1526.75,1255.16,2364.73,1460.09,1443.13,1441.53
329,1897.30,1697.62,1531.11,1258.84,2371.19,1464.24,1446.58,1445.76
