Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.13700,135.192,113.742,105.695,94.327,129.965,94.327,309.665,198.833
0.13700,135.738,114.143,106.182,94.726,130.502,94.726,311.545,199.659
0.13800,136.273,114.543,106.638,95.121,131.072,95.121,312.816,200.532
0.13800,136.798,114.931,107.072,95.505,131.575,95.505,314.129,201.334
0.13800,137.349,115.331,107.563,95.899,132.144,95.899,315.397,202.211
0.13900,137.924,115.745,108.057,96.309,132.714,96.309,317.782,203.058
0.13900,138.461,116.132,108.49,96.692,133.217,96.692,319.039,203.854
0.13900,139.027,116.52,108.911,97.072,133.721,97.072,319.751,204.679
0.14000,139.597,116.907,109.324,97.451,134.257,97.451,320.446,205.529
0.14000,140.171,117.295,109.755,97.827,134.76,97.827,321.182,206.336
0.14000,140.713,117.682,110.177,98.209,135.297,98.209,322.42,207.201
0.14100,141.269,118.135,110.627,98.599,135.834,98.599,324.25,208.053
0.14100,141.794,118.867,111.081,98.991,136.403,98.991,324.951,208.864
0.14100,142.319,119.253,111.513,99.376,136.94,99.376,325.688,209.683
0.14200,142.847,119.639,111.959,99.772,137.542,99.772,328.091,210.558
0.14200,143.384,120.039,112.419,100.172,138.145,100.172,328.796,211.458
0.14200,143.907,120.425,112.881,100.572,138.748,100.572,331.211,212.325
0.14300,144.427,120.811,113.316,100.957,139.252,100.957,332.489,213.127
0.14300,144.941,121.184,113.729,101.336,139.755,101.336,333.176,213.922
0.14300,145.454,121.558,114.142,101.714,140.258,101.714,335.045,214.729
0.14400,145.964,121.944,114.562,102.1,140.794,102.1,336.318,215.593
0.14400,146.478,122.33,115,102.483,141.299,102.483,338.184,216.436
0.14400,146.987,122.716,115.431,102.865,141.835,102.865,340.058,217.303
0.14500,147.498,123.102,115.852,103.247,142.371,103.247,341.96,218.167
0.14500,148.012,123.488,116.266,103.627,142.907,103.627,344.386,219.021
0.14500,148.525,123.862,116.681,104.003,143.443,104.003,346.205,219.85
0.14600,149.04,124.248,117.089,104.379,143.979,104.379,347.504,220.712
0.14600,149.553,124.634,117.502,104.753,144.516,104.753,348.233,221.574
0.14600,150.063,125.021,117.91,105.128,145.019,105.128,348.977,222.418
0.14700,150.575,125.42,118.321,105.503,145.522,105.503,349.692,223.268
0.14700,151.085,125.819,118.733,105.877,145.991,105.877,350.423,224.081
0.14700,151.595,126.243,119.156,106.255,146.528,106.255,351.152,224.903
0.14800,152.119,126.681,119.589,106.64,147.031,106.64,351.881,225.702
0.14800,152.636,127.17,120.031,107.032,147.6,107.032,353.67,226.557
0.14800,153.182,127.62,120.44,107.409,148.103,107.409,354.395,227.396
0.14900,153.693,128.083,120.845,107.783,148.606,107.783,355.69,228.215
0.14900,154.214,128.559,121.266,108.167,149.143,108.167,356.949,229.076
0.14900,154.733,129.061,121.688,108.548,149.679,108.548,357.678,229.91
0.15000,155.254,129.562,122.123,108.941,150.249,108.941,358.408,230.801
0.15000,155.816,130.077,122.545,109.322,150.819,109.322,360.794,231.683
0.15000,156.34,130.527,122.95,109.696,151.322,109.696,361.554,232.491
0.15000,156.854,130.99,123.361,110.073,151.859,110.073,362.818,233.359
0.15100,157.38,131.466,123.773,110.453,152.395,110.453,363.538,234.213
0.15100,157.916,131.942,124.183,110.828,152.898,110.828,364.793,235.01
0.15100,158.426,132.431,124.604,111.211,153.434,111.211,366.613,235.851
0.15200,158.944,132.945,125.028,111.597,153.937,111.597,367.332,236.703
0.15200,159.494,133.537,125.496,111.989,154.473,111.989,368.598,237.571
0.15200,160.028,134.292,125.948,112.379,155.009,112.379,369.86,238.44
0.15300,160.536,134.678,126.369,112.76,155.545,112.76,370.551,239.299
0.15300,161.059,135.064,126.777,113.134,156.015,113.134,371.248,240.088
0.15300,161.568,135.463,127.199,113.51,156.551,113.51,372.535,240.918
0.15400,162.118,135.862,127.716,113.908,157.121,113.908,374.998,241.776
0.15400,162.625,136.274,128.139,114.284,157.691,114.284,375.686,242.674
0.15400,163.131,136.673,128.555,114.662,158.228,114.662,376.4,243.554
