Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
249,10254.61,7074.02,10997.84,7423.2,19228.74,9238.54,7429.24,7469.24
250,10299.82,7126.32,11030.98,7453.2,19298.23,9277.16,7453.19,7497.34
251,10333.07,7160.53,11064.21,7483.6,19379.39,9315.62,7475.73,7527.03
252,10387.87,7415.27,11120.21,7515.3,19488.65,9360.13,7511.32,7561.21
253,10423.82,7725.43,11177.02,7547.7,19574.49,9401.55,7548.41,7591.69
254,10506.91,8051.17,11233.89,7580.0,19672.05,9452.13,7583.83,7623.76
255,10585.69,8364.16,11290.36,7611.2,19755.54,9496.95,7620.16,7653.48
256,10623.91,8401.05,11347.30,7643.2,19846.18,9544.64,7654.95,7684.13
257,10678.63,8425.86,11399.99,7673.2,19941.31,9586.11,7689.32,7715.80
258,10728.70,8450.67,11433.17,7703.0,20029.49,9624.53,7711.28,7746.50
259,10779.40,8474.55,11466.31,7732.4,20113.00,9662.98,7733.32,7775.93
260,10819.04,8502.16,11523.20,7764.5,20222.24,9707.43,7768.35,7809.13
261,10902.95,8529.78,11579.91,7796.7,20322.23,9755.02,7804.84,7840.79
262,10957.23,8555.53,11635.10,7827.2,20419.90,9796.55,7839.23,7872.86
263,10992.49,8591.84,11687.76,7857.0,20517.55,9838.07,7862.03,7905.08
264,11042.37,8629.08,11721.07,7886.1,20601.16,9876.41,7886.00,7934.74
265,11078.53,8666.33,11754.26,7914.4,20675.40,9911.80,7908.09,7962.88
266,11115.48,8715.98,11787.40,7942.7,20749.55,9947.23,7930.01,7991.73
267,11153.85,8767.52,11820.77,7970.9,20816.71,9982.64,7952.03,8019.55
268,11198.42,8819.97,11853.93,7999.1,20879.21,10015.29,7973.99,8046.78
269,11233.05,8875.22,11887.15,8027.9,20946.27,10053.69,7996.02,8074.68
270,11278.15,8953.44,11920.26,8056.2,21006.35,10086.11,8017.94,8101.53
271,11333.02,9024.85,11976.20,8087.3,21106.22,10127.69,8052.39,8134.12
272,11373.21,9123.91,12029.54,8117.3,21187.30,10166.18,8087.24,8163.87
273,11409.30,9172.84,12062.65,8146.5,21277.79,10204.66,8111.91,8194.85
274,11442.56,9196.92,12095.74,8175.4,21337.86,10237.01,8135.86,8221.71
275,11477.56,9221.01,12128.80,8205.0,21404.93,10272.41,8157.78,8249.60
276,11515.19,9246.06,12162.00,8233.5,21481.32,10314.07,8180.43,8278.81
277,11553.91,9270.14,12195.06,8260.5,21532.02,10343.56,8205.10,8303.96
278,11592.99,9293.23,12227.08,8287.1,21578.04,10372.99,8228.96,8328.79
279,11633.20,9316.31,12260.12,8312.8,21626.39,10402.34,8251.04,8353.88
280,11676.37,9340.37,12293.24,8340.4,21681.75,10434.64,8273.01,8380.01
281,11711.35,9364.43,12326.57,8370.2,21762.84,10473.12,8294.97,8409.01
282,11747.69,9390.47,12382.81,8401.4,21874.49,10517.60,8330.13,8441.60
283,11783.27,9415.52,12415.87,8430.6,21941.52,10552.93,8354.08,8469.02
284,11817.69,9440.57,12448.99,8459.7,22017.93,10588.37,8376.06,8498.38
285,11851.33,9464.64,12482.09,8486.7,22075.60,10617.72,8398.03,8524.93
286,11885.54,9489.68,12515.14,8516.9,22142.70,10653.03,8419.96,8552.38
287,11919.06,9513.74,12548.25,8546.3,22200.49,10688.68,8441.94,8579.05
288,11953.29,9538.79,12581.30,8574.7,22267.69,10724.17,8464.60,8606.76
289,11987.83,9563.82,12614.37,8603.2,22330.02,10759.55,8488.56,8633.86
290,12022.28,9588.87,12647.57,8632.1,22387.74,10792.02,8510.58,8660.65
291,12056.40,9613.90,12680.62,8659.1,22438.46,10824.36,8533.38,8686.07
292,12090.47,9638.93,12710.47,8685.7,22489.14,10856.71,8557.16,8711.22
293,12125.86,9664.95,12766.61,8716.8,22586.68,10898.36,8592.21,8743.86
294,12160.61,9689.02,12799.70,8745.9,22656.10,10933.75,8616.11,8772.66
295,12196.35,9714.06,12852.73,8775.5,22744.32,10972.21,8651.08,8803.02
296,12236.34,9738.13,12885.77,8803.8,22794.95,11001.53,8673.90,8828.64
297,12282.24,9763.17,12918.88,8832.9,22866.69,11037.03,8696.55,8857.01
298,12317.34,9788.20,12951.94,8864.0,22959.58,11075.38,8719.48,8887.91
299,12351.55,9814.22,12985.07,8893.0,23021.99,11111.06,8743.43,8914.70
300,12386.31,9839.25,13018.09,8921.6,23103.21,11146.58,8766.07,8944.35
301,12433.50,9863.31,13051.13,8949.9,23186.73,11181.98,8789.96,8974.13
302,12481.59,9888.34,13084.17,8978.5,23262.99,11220.41,8812.62,9003.82
303,12514.67,9913.37,13117.28,9006.8,23344.23,11255.72,8836.01,9033.48
304,12547.44,9939.39,13150.37,9035.8,23404.31,11291.48,8859.87,9060.55
305,12581.94,9965.39,13205.99,9066.1,23499.42,11336.18,8894.93,9091.89
306,12616.31,9990.43,13239.13,9096.1,23587.51,11377.59,8917.25,9122.78
307,12651.80,10015.46,13272.26,9126.1,23680.49,11416.13,8939.36,9154.06
308,12687.74,10040.49,13305.36,9155.9,23773.25,11454.76,8961.25,9185.28
309,12722.26,10065.53,13338.40,9185.4,23863.72,11490.35,8983.15,9216.26
310,12757.04,10091.54,13371.52,9215.3,23944.86,11528.71,9005.08,9245.95
311,12791.88,10117.55,13424.23,9245.5,24035.15,11570.27,9039.07,9276.91
312,12826.86,10143.55,13457.26,9275.8,24134.78,11611.60,9060.98,9308.47
313,12877.57,10170.54,13511.60,9306.7,24239.23,11649.98,9096.79,9342.94
314,12914.55,10197.53,13568.20,9338.2,24322.52,11691.68,9133.93,9374.96
315,12950.16,10223.53,13622.40,9367.9,24417.71,11733.20,9170.74,9405.23
316,12985.88,10250.50,13676.60,9398.7,24517.60,11774.67,9206.51,9438.69
317,13021.74,10277.48,13732.00,9430.3,24603.33,11816.26,9242.27,9468.41
318,13055.90,10325.04,13788.40,9460.6,24700.76,11857.65,9276.79,9500.84
319,13094.58,10352.09,13845.05,9493.2,24805.18,11905.19,9311.32,9532.08
320,13130.23,10377.15,13878.22,9523.2,24881.45,11943.69,9333.58,9561.02
321,13165.44,10402.22,13911.24,9553.0,24960.23,11982.29,9355.57,9590.34
322,13213.77,10427.30,13944.31,9582.2,25041.40,12020.61,9377.43,9619.97
323,13247.19,10452.35,13977.33,9611.7,25103.73,12055.89,9399.49,9647.11
324,13288.87,10487.95,14010.46,9639.4,25149.74,12085.33,9421.56,9672.29
325,13339.52,10513.00,14043.48,9668.4,25219.16,12120.81,9443.57,9700.62
326,13382.09,10537.06,14076.49,9696.7,25283.85,12156.28,9465.50,9728.51
327,13430.77,10586.15,14109.50,9725.1,25360.33,12191.74,9487.41,9757.49
328,13464.82,10624.71,14142.61,9752.9,25439.10,12230.05,9509.40,9786.46
329,13508.72,10674.78,14175.62,9779.8,25492.08,12262.53,9531.40,9812.33
330,13558.54,10740.36,14231.33,9810.4,25584.78,12307.04,9565.61,9843.76
